Airline,Flight #,Origin,ETA,Gate #,Status,AirlineCode,AirportCode,ScheduledDate,ScheduledTime,EstimatedDate,OriginDestAirport,BoardingGate,EstimatedTime,Remarks,FlightNumber
https://www.ind.com/assets/images/airlines/aa.png,AA 4679,Washington DC,8:37 am,B14,Arrived,AA,IND,20250415,0837,20250415,Washington DC,B14,0837,Arr,4679
https://www.ind.com/assets/images/airlines/dl.png,DL 3125,Atlanta,8:40 am,A6,Arrived,DL,IND,20250415,0840,20250415,Atlanta,A6,0840,Arr,3125
https://www.ind.com/assets/images/airlines/nk.png,NK 365,Ft. Lauderdale,8:47 am,A20,Arrived,NK,IND,20250415,0847,20250415,Ft. Lauderdale,A20,0847,Arr,365
https://www.ind.com/assets/images/airlines/wn.png,WN 1514,Fort Myers,8:55 am,B21,Arrived,WN,IND,20250415,0855,20250415,Fort Myers,B21,0855,Arr,1514
https://www.ind.com/assets/images/airlines/ua.png,UA 5717,Chicago/O'Hare,9:25 am,A17,Arrived,UA,IND,20250415,0925,20250415,Chicago/O'Hare,A17,0925,Arr,5717
https://www.ind.com/assets/images/airlines/g4.png,G4 2795,Savannah/Hilton,9:26 am,B4,Arrived,G4,IND,20250415,0926,20250415,Savannah/Hilton,B4,0926,Arr,2795
https://www.ind.com/assets/images/airlines/dl.png,DL 5593,Detroit,9:28 am,A7,Arrived,DL,IND,20250415,0928,20250415,Detroit,A7,0928,Arr,5593
https://www.ind.com/assets/images/airlines/aa.png,AA 3963,Chicago/O'Hare,9:31 am,B6,Arrived,AA,IND,20250415,0931,20250415,Chicago/O'Hare,B6,0931,Arr,3963
https://www.ind.com/assets/images/airlines/aa.png,AA 4489,Indianapolis,8:08 am,B6,Arrived,AA,IND,20250415,0808,20250415,Indianapolis,B6,0808,Arr,4489
https://www.ind.com/assets/images/airlines/aa.png,AA 4725,Boston,9:31 am,B13,Arrived,AA,IND,20250415,0931,20250415,Boston,B13,0931,Arr,4725
https://www.ind.com/assets/images/airlines/wn.png,WN 1529,Orlando Int'l,10:02 am,B20,Arrived,WN,IND,20250415,1002,20250415,Orlando Int'l,B20,1002,Arr,1529
https://www.ind.com/assets/images/airlines/ua.png,UA 3561,Wash. Dulles,10:20 am,A25,Arrived,UA,IND,20250415,1020,20250415,Wash. Dulles,A25,1020,Arr,3561
https://www.ind.com/assets/images/airlines/aa.png,AA 5420,Philadelphia,12:25 pm,B10,Arrived,AA,IND,20250415,1225,20250415,Philadelphia,B10,1225,Arr,5420
https://www.ind.com/assets/images/airlines/f9.png,F9 3202,Dallas-Ft. Worth,10:14 am,A3,Arrived,F9,IND,20250415,1014,20250415,Dallas-Ft. Worth,A3,1014,Arr,3202
https://www.ind.com/assets/images/airlines/dl.png,DL 5705,New York/LGA,10:05 am,A8,Arrived,DL,IND,20250415,1005,20250415,New York/LGA,A8,1005,Arr,5705
https://www.ind.com/assets/images/airlines/aa.png,AA 1506,Dallas-Ft. Worth,10:07 am,B9,Arrived,AA,IND,20250415,1007,20250415,Dallas-Ft. Worth,B9,1007,Arr,1506
https://www.ind.com/assets/images/airlines/wn.png,WN 2155,Baltimore,11:25 am,B23,Arrived,WN,IND,20250415,1125,20250415,Baltimore,B23,1125,Arr,2155
https://www.ind.com/assets/images/airlines/nk.png,NK 856,Tampa,10:19 am,A20,Arrived,NK,IND,20250415,1019,20250415,Tampa,A20,1019,Arr,856
https://www.ind.com/assets/images/airlines/dl.png,DL 2952,Atlanta,10:29 am,A11,Arrived,DL,IND,20250415,1029,20250415,Atlanta,A11,1029,Arr,2952
https://www.ind.com/assets/images/airlines/ua.png,UA 6055,Houston,10:35 am,A21,Arrived,UA,IND,20250415,1035,20250415,Houston,A21,1035,Arr,6055
https://www.ind.com/assets/images/airlines/dl.png,DL 5628,Boston,10:49 am,A13,Arrived,DL,IND,20250415,1049,20250415,Boston,A13,1049,Arr,5628
https://www.ind.com/assets/images/airlines/aa.png,AA 4565,New York/LGA,10:44 am,B6,Arrived,AA,IND,20250415,1044,20250415,New York/LGA,B6,1044,Arr,4565
https://www.ind.com/assets/images/airlines/aa.png,AA 2093,Charlotte,11:00 am,B14,Arrived,AA,IND,20250415,1100,20250415,Charlotte,B14,1100,Arr,2093
https://www.ind.com/assets/images/airlines/wn.png,WN 614,Austin,11:11 am,B22,Arrived,WN,IND,20250415,1111,20250415,Austin,B22,1111,Arr,614
https://www.ind.com/assets/images/airlines/aa.png,AA 1961,Miami,11:22 am,B10,Arrived,AA,IND,20250415,1122,20250415,Miami,B10,1122,Arr,1961
https://www.ind.com/assets/images/airlines/dl.png,DL 2991,Minneapolis-St. Paul,12:07 pm,A8,Arrived,DL,IND,20250415,1207,20250415,Minneapolis-St. Paul,A8,1207,Arr,2991
https://www.ind.com/assets/images/airlines/wn.png,WN 197,Houston/Hobby Field,11:27 am,B21,Arrived,WN,IND,20250415,1127,20250415,Houston/Hobby Field,B21,1127,Arr,197
